key,ko,en,vi,comment
"status.workInProgress","현재 작업이 진행 중입니다.","Work is in progress.","Cong viec dang chay.","Status label"
"status.playableGenerationRunning","플레이어블 생성 작업이 진행 중입니다.","Playable generation is running.","Tac vu tao playable dang chay.","Status label"
"status.aiResponseGenerating","AI 응답 생성이 진행 중입니다.","AI response generation is running.","Dang tao phan hoi AI.","Status label"
"status.requesting","요청 중","Requesting","Dang yeu cau","Status label"
"status.canceled","취소됨","Canceled","Da huy","Status label"
"status.catalogUpdatePending","카탈로그 업데이트 대기","Catalog update pending","Dang cho cap nhat catalog","Status label"
"status.catalogUpdateAvailable","최신 카탈로그 적용 가능","Latest catalog available","Co the ap dung catalog moi nhat","Status label"
"auth.loginRequired","로그인이 필요합니다.","Login required.","Can dang nhap.","Web auth"
"auth.loginFromUnity","Unity에서 AIPS로 Google 로그인 후 다시 시도해주세요.","Sign in with Google from AIPS in Unity, then try again.","Hay dang nhap Google tu AIPS trong Unity roi thu lai.","Web auth"
"auth.logoutConfirm","로그아웃 하시겠습니까?","Do you want to log out?","Ban co muon dang xuat khong?","Web auth"
"auth.loggedOut","로그아웃했습니다.","Logged out.","Da dang xuat.","Web auth"
"auth.moveToNextWindow","다음 창으로 이동하세요.","Move to the next window.","Hay chuyen sang cua so tiep theo.","Web auth"
"auth.openWebAfterUnityLogin","Unity에서 AIPS로 Google 로그인 후 웹을 열어주세요.","Sign in with Google from AIPS in Unity, then open the web UI.","Dang nhap Google tu AIPS trong Unity roi mo web UI.","Web auth"
"auth.expiredReconnect","인증이 만료되었습니다. Unity에서 다시 연결하세요.","Authentication expired. Reconnect from Unity.","Xac thuc het han. Hay ket noi lai tu Unity.","Web auth"
"auth.expiredShort","인증 만료","Authentication expired","Xac thuc het han","Web auth"
"auth.sessionReplacedReconnect","다른 기기에서 같은 계정으로 로그인되어 이 세션이 대기 상태가 되었습니다. Unity에서 다시 로그인하세요.","This session was placed on standby because the same account signed in on another device. Sign in again from Unity.","Phien nay da chuyen sang trang thai cho vi cung tai khoan da dang nhap tren thiet bi khac. Hay dang nhap lai tu Unity.","Web auth"
"auth.sessionReplacedShort","다른 기기 로그인으로 대기 상태","Standby after another device login","Trang thai cho boi dang nhap tu thiet bi khac","Web auth"
"auth.serverCheckFailedRetry","서버 연결을 확인하지 못했습니다. 네트워크가 복구되면 다시 시도합니다.","Could not check the server connection. The app will retry when the network recovers.","Khong the kiem tra ket noi may chu. Ung dung se thu lai khi mang phuc hoi.","Web auth"
"worker.statusCheckFailed","Worker 상태 확인 실패","Worker status check failed","Kiem tra trang thai worker that bai","Web worker"
"worker.statusCheckFailedDetail","Unity worker 상태를 확인하지 못했습니다.","Could not check Unity worker status.","Khong the kiem tra trang thai Unity worker.","Web worker"
"bridge.missingInfo","Unity Bridge 정보 없음","No Unity Bridge information","Khong co thong tin Unity Bridge","Web bridge"
"bridge.connected","Unity Bridge 연결됨","Unity Bridge connected","Unity Bridge da ket noi","Web bridge"
"bridge.unityRequired","Unity 연결 필요","Unity connection required","Can ket noi Unity","Web bridge"
"bridge.commandSent","Unity 명령을 보냈습니다.","Unity command sent.","Da gui lenh Unity.","Web bridge"
"bridge.commandFailed","Unity 명령 실패","Unity command failed","Lenh Unity that bai","Web bridge"
"home.recentEmptyTitle","아직 플레이어블이 없습니다","No playables yet","Chua co playable","Web home"
"home.recentEmptyDesc","첫 세션을 만들면 최근 작업이 여기에 표시됩니다.","Create your first session and recent work will appear here.","Tao session dau tien, cong viec gan day se hien thi o day.","Web home"
"home.guideDesc","제작 단계와 관련 에셋을 확인합니다.","Review production steps and related assets.","Xem cac buoc san xuat va asset lien quan.","Web home"
"home.contentStoreDesc","Unity 설치용 패키지를 탐색합니다.","Browse packages for Unity installation.","Duyet package de cai dat vao Unity.","Web home"
"guide.defaultTitle","AI Playable Studio 시작하기","Get started with AI Playable Studio","Bat dau voi AI Playable Studio","Web guide"
"guide.defaultBody","작업 단계를 선택하세요.","Select a workflow step.","Chon mot buoc cong viec.","Web guide"
"guide.bridgeChecking","Unity 연결 확인 중","Checking Unity connection","Dang kiem tra ket noi Unity","Web guide"
"guide.bridgeDetail","같은 PC에서 열린 Unity Editor와 연결합니다.","Connect to the Unity Editor running on this PC.","Ket noi voi Unity Editor dang chay tren PC nay.","Web guide"
"tool.subtitle","화면 표시와 작업 환경 설정","Display and workspace settings","Cai dat hien thi va moi truong lam viec","Web tool panel"
"tool.view","보기","View","Xem","Web tool panel"
"tool.viewMenu","보기 메뉴","View menu","Menu xem","Web tool panel"
"tool.viewNote","그리드, 라벨, 경로와 확대 수준을 조정합니다.","Adjust grid, labels, paths, and zoom.","Dieu chinh grid, label, path va zoom.","Web tool panel"
"tool.grid","그리드","Grid","Luoi","Web tool panel"
"tool.minorGrid","보조선","Minor grid","Luoi phu","Web tool panel"
"tool.labels","라벨","Labels","Nhan","Web tool panel"
"tool.paths","경로","Paths","Duong dan","Web tool panel"
"tool.zoom","줌","Zoom","Zoom","Web tool panel"
"tool.zoomOut","축소","Zoom out","Thu nho","Web tool panel"
"tool.zoomIn","확대","Zoom in","Phong to","Web tool panel"
"tool.labelsNote","라벨 위치, 표시 범위, 선 스타일과 두께를 정리합니다.","Tune label position, visibility, line style, and thickness.","Chinh vi tri label, pham vi hien thi, kieu va do day duong.","Web tool panel"
"tool.labelPosition","라벨 위치","Label position","Vi tri label","Web tool panel"
"tool.positionTopLeft","좌상단","Top left","Tren trai","Web tool panel"
"tool.positionTopCenter","상단 중앙","Top center","Tren giua","Web tool panel"
"tool.positionBottomCenter","하단 중앙","Bottom center","Duoi giua","Web tool panel"
"tool.positionCenter","중앙","Center","Giua","Web tool panel"
"tool.display","표시","Display","Hien thi","Web tool panel"
"tool.displayFacilities","시설만","Facilities only","Chi facility","Web tool panel"
"tool.displayFacilitiesPlayers","시설 + 플레이어","Facilities + player","Facility + player","Web tool panel"
"tool.displayFacilitiesEnvironment","시설 + 환경","Facilities + environment","Facility + moi truong","Web tool panel"
"tool.size","크기","Size","Co","Web tool panel"
"tool.sizeSmall","작게","Small","Nho","Web tool panel"
"tool.sizeMedium","보통","Medium","Vua","Web tool panel"
"tool.sizeLarge","크게","Large","Lon","Web tool panel"
"tool.line","선","Line","Duong","Web tool panel"
"tool.lineSolid","실선","Solid","Lien","Web tool panel"
"tool.lineDashed","점선","Dashed","Dut net","Web tool panel"
"tool.thickness","두께","Thickness","Do day","Web tool panel"
"tool.currentValue","현재 값","Current value","Gia tri hien tai","Web tool panel"
"tool.chatServerNote","플레이어블 첫 대화 전까지 사용할 AI 서버를 선택합니다.","Choose the AI server used before the first playable chat.","Chon may chu AI dung truoc chat playable dau tien.","Web tool panel"
"tool.chatServer","채팅 서버","Chat Server","May chu chat","Web tool panel"
"tool.serverA","서버 A","Server A","May chu A","Web tool panel"
"tool.serverB","서버 B","Server B","May chu B","Web tool panel"
"tool.chatServerLocked","플레이어블 첫 대화 이후 수정 불가능합니다.","Cannot be changed after the first playable chat.","Khong the doi sau chat playable dau tien.","Web tool panel"
"tool.debug","디버그","Debug","Debug","Web tool panel"
"tool.debugMenu","디버그 메뉴","Debug menu","Menu debug","Web tool panel"
"tool.debugNote","현재 플레이어블과 대화 상태를 빠르게 복사합니다.","Quickly copy current playable and chat state.","Sao chep nhanh trang thai playable va chat hien tai.","Web tool panel"
"tool.copyPlayableInfo","플레이어블 정보 복사","Copy playable info","Sao chep thong tin playable","Web tool panel"
"tool.copyChat","대화 복사","Copy chat","Sao chep chat","Web tool panel"
"chat.statusIdle","메시지를 입력하면 AI 응답을 요청합니다.","Enter a message to request an AI response.","Nhap tin nhan de yeu cau AI phan hoi.","Web chat"
"chat.emptyTitle","먼저 새 플레이어블을 만드세요","Create a new playable first","Tao playable moi truoc","Web chat"
"chat.emptyDesc","새 플레이어블 세션을 만들면 바로 생성 작업을 시작할 수 있습니다.","Create a new playable session to start generation work.","Tao session playable moi de bat dau tao.","Web chat"
"chat.placeholder","메시지를 입력하세요.","Enter a message.","Nhap tin nhan.","Web chat"
"chat.firstPromptHint","첫 채팅에는 플레이어블 생성 명령이 포함됩니다.","The first chat includes the playable generation command.","Chat dau tien gom lenh tao playable.","Web chat"
"chat.interrupt","중단","Interrupt","Dung","Web chat"
"chat.retry","재시도","Retry","Thu lai","Web chat"
"chat.newThread","새 대화 시작","New thread","Hoi thoai moi","Web chat"
"chat.file","파일","File","Tep","Web chat"
"chat.send","전송","Send","Gui","Web chat"
"session.none","세션 없음","No session","Khong co session","Web session"
"session.nonePlayable","플레이어블 없음","No playable","Khong co playable","Web session"
"session.createNew","새 플레이어블 만들기","Create new playable","Tao playable moi","Web session"
"session.selectPlayable","플레이어블을 선택해주세요.","Select a playable.","Chon mot playable.","Web session"
"session.snapshotMissing","Snapshot 없음","No snapshot","Khong co snapshot","Web session"
"session.checkNotRun","검사 전","Not checked","Chua kiem tra","Web session"
"session.bakePending","베이크 대기","Bake pending","Bake dang cho","Web session"
"session.checkingPlayable","플레이어블 확인 중","Checking playable","Dang kiem tra playable","Web session"
"session.catalogMissing","카탈로그 없음","No catalog","Khong co catalog","Web session"
"session.openingTitle","플레이어블을 여는 중입니다","Opening playable","Dang mo playable","Web session"
"session.creatingTitle","새 플레이어블을 만드는 중입니다","Creating new playable","Dang tao playable moi","Web session"
"session.creatingWait","생성이 끝날 때까지 잠시만 기다려주세요.","Please wait until creation finishes.","Vui long doi den khi tao xong.","Web session"
"session.loadingNamed","{title}을 불러오는 중입니다.","Loading {title}.","Dang tai {title}.","Web session"
"session.playableSessions","플레이어블 세션","Playable Sessions","Session playable","Web session"
"session.dialogSubtitle","상태를 보면서 세션을 선택하고 관리합니다.","Select and manage sessions while watching their status.","Chon va quan ly session khi xem trang thai.","Web session"
"session.newPlayable","새 플레이어블","New Playable","Playable moi","Web session"
"session.nameDialogTitle","플레이어블 이름 정하기","Name the playable","Dat ten playable","Web session"
"session.nameDialogSubtitle","생성할 플레이어블의 이름을 먼저 정한 뒤 세션을 만듭니다.","Set a name before creating the playable session.","Dat ten truoc khi tao session playable.","Web session"
"session.playableName","플레이어블 이름","Playable name","Ten playable","Web session"
"session.theme","테마","Theme","Theme","Web session"
"session.themePlaceholder","테마를 선택하세요","Select a theme","Chon theme","Web session"
"session.themeRequired","테마를 먼저 선택해 주세요.","Select a theme first.","Hay chon theme truoc.","Web session"
"session.themeUnavailable","사용 가능한 테마 없음","No themes available","Khong co theme kha dung","Web session"
"session.namePlaceholder","예: SC-Blue 04.23","Example: SC-Blue 04.23","Vi du: SC-Blue 04.23","Web session"
"session.create","생성","Create","Tao","Web session"
"session.statusDialogSubtitle","현재 세션의 검사, 카탈로그, 베이크 가능 상태를 보여줍니다.","Shows validation, catalog, and bake readiness for the current session.","Hien thi kiem tra, catalog va san sang bake cua session hien tai.","Web session"
"session.loadingList","플레이어블 목록을 읽는 중입니다.","Loading playable list.","Dang tai danh sach playable.","Web session"
"session.noneAvailable","플레이어블이 없습니다.","There are no playables.","Khong co playable.","Web session"
"session.connectedSelectOrCreate","서버에 연결되었습니다. 플레이어블을 선택하거나 새로 만드세요.","Connected to the server. Select or create a playable.","Da ket noi may chu. Chon hoac tao playable.","Web session"
"session.externalChangeBlocked","플레이어블 파일이 외부에서 변경되었습니다. 현재 화면의 검사 상태는 최신이 아닙니다.","The playable file changed externally. The current validation state is not fresh.","Tep playable da bi thay doi ben ngoai. Trang thai kiem tra hien tai khong moi nhat.","Web session"
"session.externalChangeApplied","외부 변경을 반영했습니다.","External changes applied.","Da ap dung thay doi ben ngoai.","Web session"
"session.listRefreshed","플레이어블 목록을 갱신했습니다.","Playable list refreshed.","Da lam moi danh sach playable.","Web session"
"session.loadListFailed","플레이어블 목록을 읽지 못했습니다.","Could not load playable list.","Khong the tai danh sach playable.","Web session"
"session.currentCatalogLoadFailed","현재 카탈로그를 불러오지 못했습니다.","Could not load the current catalog.","Khong the tai catalog hien tai.","Web session"
"session.openingStatus","플레이어블을 여는 중입니다.","Opening playable.","Dang mo playable.","Web session"
"session.hasBlockers","플레이어블에 차단 이슈가 있습니다.","The playable has blocking issues.","Playable co loi chan.","Web session"
"session.missingSharedCatalog","이 플레이어블에는 아직 공용 Unity 카탈로그가 없습니다. Unity에서 현재 카탈로그를 한 번 동기화하면 배치와 AI 편집을 진행할 수 있습니다.","This playable does not yet have a shared Unity catalog. Sync the current catalog once from Unity to enable placement and AI editing.","Playable nay chua co catalog Unity dung chung. Dong bo catalog hien tai tu Unity mot lan de chinh placement va AI.","Web session"
"session.loaded","플레이어블을 불러왔습니다.","Playable loaded.","Da tai playable.","Web session"
"session.loadFailed","플레이어블을 불러오지 못했습니다.","Could not load playable.","Khong the tai playable.","Web session"
"session.resyncedLoaded","플레이어블을 다시 동기화해 불러왔습니다.","Playable resynced and loaded.","Da dong bo lai va tai playable.","Web session"
"session.openFailedPrefix","플레이어블을 열지 못했습니다.","Could not open playable.","Khong the mo playable.","Web session"
"session.invalidRefreshedPrefix","선택한 플레이어블이 더 이상 유효하지 않아 목록을 새로고쳤습니다.","Selected playable is no longer valid, so the list was refreshed.","Playable da chon khong con hop le, da lam moi danh sach.","Web session"
"session.connectFromUnity","Unity에서 연결 후 플레이어블 세션을 불러옵니다.","Connect from Unity to load playable sessions.","Ket noi tu Unity de tai session playable.","Web session"
"session.emptyForUser","{name}님의 플레이어블 세션이 없습니다.","{name} has no playable sessions.","{name} chua co session playable.","Web session"
"session.emptyStartHint","왼쪽 위의 새 플레이어블을 눌러 시작하세요.","Click New Playable at the top left to start.","Bam New Playable o goc tren trai de bat dau.","Web session"
"session.waitCurrentWork","현재 플레이어블 작업이 끝날 때까지 기다려주세요.","Wait for the current playable work to finish.","Doi cong viec playable hien tai ket thuc.","Web session"
"session.needsRefresh","이 플레이어블은 목록을 새로고쳐야 합니다.","This playable needs a list refresh.","Playable nay can lam moi danh sach.","Web session"
"session.rename","이름 바꾸기","Rename","Doi ten","Web session"
"session.renameAria","{title} 이름 바꾸기","Rename {title}","Doi ten {title}","Web session"
"session.deleteAria","{title} 삭제","Delete {title}","Xoa {title}","Web session"
"session.openAria","{title} 열기","Open {title}","Mo {title}","Web session"
"session.creatingStatus","새 플레이어블을 만드는 중입니다.","Creating a new playable.","Dang tao playable moi.","Web session"
"session.created","새 플레이어블을 만들었습니다.","New playable created.","Da tao playable moi.","Web session"
"session.createFailed","새 플레이어블을 만들지 못했습니다.","Could not create a new playable.","Khong the tao playable moi.","Web session"
"session.deleteConfirm","'{title}' 플레이어블의 서버 데이터를 삭제할까요?","Delete server data for '{title}'?","Xoa du lieu may chu cua '{title}'?","Web session"
"session.deleting","플레이어블 서버 데이터를 삭제하는 중입니다.","Deleting playable server data.","Dang xoa du lieu may chu playable.","Web session"
"session.deleted","플레이어블 서버 데이터를 삭제했습니다.","Playable server data deleted.","Da xoa du lieu may chu playable.","Web session"
"session.deletedNoRemaining","플레이어블 서버 데이터를 삭제했습니다. 남은 플레이어블이 없습니다.","Playable server data deleted. No playables remain.","Da xoa du lieu may chu playable. Khong con playable.","Web session"
"session.deleteFailed","플레이어블 서버 데이터를 삭제하지 못했습니다.","Could not delete playable server data.","Khong the xoa du lieu may chu playable.","Web session"
"session.renamePrompt","새 플레이어블 이름을 입력하세요.","Enter a new playable name.","Nhap ten playable moi.","Web session"
"session.nameRequired","플레이어블 이름은 비워둘 수 없습니다.","Playable name cannot be empty.","Ten playable khong duoc de trong.","Web session"
"session.renaming","플레이어블 이름을 바꾸는 중입니다.","Renaming playable.","Dang doi ten playable.","Web session"
"session.renamed","플레이어블 이름을 바꿨습니다.","Playable renamed.","Da doi ten playable.","Web session"
"session.renameFailed","플레이어블 이름을 바꾸지 못했습니다.","Could not rename playable.","Khong the doi ten playable.","Web session"
"session.defaultTitle","새 플레이어블 {timestamp}","New Playable {timestamp}","Playable moi {timestamp}","Web session"
"workflow.savingLayout","layout을 저장하고 있습니다.","Saving layout.","Dang luu layout.","Web workflow"
"workflow.runningHtmlCheck","HTML 기준 검사를 실행하고 있습니다.","Running HTML validation.","Dang chay kiem tra HTML.","Web workflow"
"workflow.savingAndChecking","layout을 저장하고 HTML 기준 검사를 갱신하는 중입니다.","Saving layout and updating HTML validation.","Dang luu layout va cap nhat kiem tra HTML.","Web workflow"
"workflow.saving","layout을 저장하는 중입니다.","Saving layout.","Dang luu layout.","Web workflow"
"workflow.savedLayout","layout을 저장했습니다.","Layout saved.","Da luu layout.","Web workflow"
"workflow.checkBlocked","검사에서 차단 항목 {count}건이 발견되었습니다.","Validation found {count} blockers.","Kiem tra tim thay {count} muc chan.","Web workflow"
"workflow.checkPassed","검사를 통과했습니다.","Validation passed.","Kiem tra thanh cong.","Web workflow"
"workflow.savedAndChecked","layout을 저장하고 HTML 기준 검사를 갱신했습니다.","Layout saved and HTML validation updated.","Da luu layout va cap nhat kiem tra HTML.","Web workflow"
"workflow.checkFailed","검사를 완료하지 못했습니다.","Could not complete validation.","Khong the hoan tat kiem tra.","Web workflow"
"workflow.saveFailed","저장을 완료하지 못했습니다.","Could not complete save.","Khong the hoan tat luu.","Web workflow"
"workflow.noQuickFix","적용 가능한 빠른수정이 없습니다.","No applicable quick fixes.","Khong co sua nhanh phu hop.","Web workflow"
"workflow.quickFixChecking","빠른수정 {count}건을 적용하고 다시 검사하는 중입니다.","Applying {count} quick fixes and checking again.","Dang ap dung {count} sua nhanh va kiem tra lai.","Web workflow"
"workflow.quickFixChecked","빠른수정 {count}건을 적용하고 다시 검사했습니다.","Applied {count} quick fixes and checked again.","Da ap dung {count} sua nhanh va kiem tra lai.","Web workflow"
"workflow.quickFixFailed","빠른수정을 적용하지 못했습니다.","Could not apply quick fixes.","Khong the ap dung sua nhanh.","Web workflow"
"workflow.inspectionStale","현재 편집은 아직 최신 검사와 동기화되지 않았습니다. 생성 전에 저장하거나 생성을 실행해주세요.","Current edits are not synced with the latest validation. Save or run generation before creating.","Chinh sua hien tai chua dong bo voi kiem tra moi nhat. Hay luu hoac chay tao truoc.","Web workflow"
"workflow.lastCheckMayDiffer","마지막 검사 결과가 현재 draft와 다를 수 있습니다. 생성을 실행해 최신화해주세요.","The last validation may differ from the current draft. Run generation to refresh it.","Kiem tra cuoi co the khac draft hien tai. Chay tao de cap nhat.","Web workflow"
"workflow.generateComputesCheck","생성을 실행하면 최신 검사와 생성 가능 여부를 함께 계산합니다.","Running generation also computes the latest validation and readiness.","Chay tao se tinh kiem tra moi nhat va kha nang tao.","Web workflow"
"workflow.checkRequired","검사 필요","Check required","Can kiem tra","Web workflow"
"workflow.reportPreparing","생성 준비 중입니다.","Preparing generation.","Dang chuan bi tao.","Web workflow"
"workflow.reportSubtitle","검사와 생성 단계를 순차 실행합니다.","Validation and generation steps run in sequence.","Cac buoc kiem tra va tao chay lan luot.","Web workflow"
"workflow.copyDetails","세부 메시지 복사","Copy details","Sao chep chi tiet","Web workflow"
"workflow.diagnosticsSubtitle","구조화된 preflight 진단과 raw conflictsText를 함께 확인합니다.","Review structured preflight diagnostics with raw conflictsText.","Xem chan doan preflight co cau truc cung raw conflictsText.","Web workflow"
"editor.noSelection","선택 없음","No selection","Khong co lua chon","Web editor"
"editor.selectionInfo","선택 정보","Selection info","Thong tin lua chon","Web editor"
"editor.noActions","동작 없음","No actions","Khong co hanh dong","Web editor"
"editor.undo","실행 취소","Undo","Hoan tac","Web editor"
"editor.redo","다시 실행","Redo","Lam lai","Web editor"
"editor.rotateLeft","좌회전","Rotate left","Xoay trai","Web editor"
"editor.rotateRight","우회전","Rotate right","Xoay phai","Web editor"
"editor.duplicate","복제","Duplicate","Nhan doi","Web editor"
"editor.delete","삭제","Delete","Xoa","Web editor"
"editor.queuePoint","대기점","Queue point","Diem doi","Web editor"
"editor.entryPoint","진입점","Entry point","Diem vao","Web editor"
"editor.exitPoint","퇴장점","Exit point","Diem ra","Web editor"
"editor.removePoint","점 삭제","Remove point","Xoa diem","Web editor"
"editor.noAvailableEdit","선택한 오브젝트에서 수행 가능한 편집이 없습니다.","No available edits for the selected object.","Khong co chinh sua kha dung cho object da chon.","Web editor"
"editor.noItems","항목 없음","No items","Khong co muc","Web editor"
"editor.agent","에이전트","Agent","Agent","Web editor"
"editor.chatAgent","채팅 에이전트","Chat Agent","Chat Agent","Web editor"
"editor.aiPanelResize","AI 패널 너비 조절","Resize AI panel width","Doi rong panel AI","Web editor"
"editor.layout","배치","Layout","Layout","Web editor"
"editor.placementSwap","배치 교체","Placement Swap","Doi placement","Web editor"
"editor.work","작업","Work","Cong viec","Web editor"
"editor.interface","인터페이스","Interface","Giao dien","Web editor"
"editor.session","세션","Session","Session","Web editor"
"editor.currentState","현재 상태","Current State","Trang thai hien tai","Web editor"
"editor.selection","선택","Selection","Lua chon","Web editor"
"editor.object","오브젝트","Object","Object","Web editor"
"editor.edit","편집","Edit","Chinh sua","Web editor"
"editor.quickActions","빠른 작업","Quick Actions","Tac vu nhanh","Web editor"
"editor.placementTargets","배치 대상","Placement Targets","Muc tieu placement","Web editor"
"editor.requiredUiContent","필수 UI 콘텐츠","Required UI Content","Noi dung UI bat buoc","Web editor"
"editor.openLayoutTool","배치 열기","Open Layout","Mo Layout","Web editor"
"editor.closeLayoutTool","배치 닫기","Close Layout","Dong Layout","Web editor"
"editor.openPlacementSwapTool","배치 교체 열기","Open Placement Swap","Mo doi placement","Web editor"
"editor.closePlacementSwapTool","배치 교체 닫기","Close Placement Swap","Dong doi placement","Web editor"
"editor.openWorkTool","작업 열기","Open Work","Mo cong viec","Web editor"
"editor.closeWorkTool","작업 닫기","Close Work","Dong cong viec","Web editor"
"editor.openInterfaceTool","인터페이스 열기","Open Interface","Mo giao dien","Web editor"
"editor.closeInterfaceTool","인터페이스 닫기","Close Interface","Dong giao dien","Web editor"
"editor.placementSwapEmpty","현재 session에서 design 교체를 지원하는 feature 배치 대상을 찾지 못했습니다.","No feature placement targets support design swap in the current session.","Khong tim thay doi tuong placement feature ho tro doi design trong session hien tai.","Web editor"
"editor.uiContentEmpty","현재 session catalog에서 편집 가능한 UI content를 찾지 못했습니다.","No editable UI content was found in the current session catalog.","Khong tim thay UI content co the chinh trong session catalog hien tai.","Web editor"
"editor.worldEmptyTitle","채팅을 통해 플레이어블을 생성하세요","Generate a playable through chat","Tao playable qua chat","Web editor"
"editor.worldEmptyNoPlayable","현재 플레이어블이 없습니다. 채팅을 통해 플레이어블을 생성하세요.","There is no current playable. Generate one through chat.","Chua co playable hien tai. Tao qua chat.","Web editor"
"editor.aiResponding","AI가 답변 중입니다.","AI is responding.","AI dang phan hoi.","Web editor"
"editor.aiLockDesc","응답이 끝날 때까지 배치 편집과 검증, 저장, 베이크를 잠시 잠급니다.","Layout editing, validation, save, and bake are locked until the response finishes.","Chinh layout, kiem tra, luu va bake bi khoa den khi phan hoi xong.","Web editor"
"editor.selectionDialogSubtitle","현재 선택된 오브젝트의 정보를 표시합니다.","Shows information for the currently selected object.","Hien thong tin object dang chon.","Web editor"
"editor.noSelectedObject","선택된 객체가 없습니다.","No object selected.","Chua chon object.","Web editor"
"editor.previewCanvasFailed","프리뷰 캔버스를 만들지 못했습니다.","Could not create the preview canvas.","Khong the tao canvas preview.","Web editor"
"editor.previewPngFailed","프리뷰 이미지를 PNG로 만들지 못했습니다.","Could not create a PNG preview image.","Khong the tao anh preview PNG.","Web editor"
"editor.toolLockedByAi","AI 응답 중에는 {label}을 변경할 수 없습니다.","Cannot change {label} while AI is responding.","Khong the doi {label} khi AI dang phan hoi.","Web editor"
"editor.openTool","{label} 열기","Open {label}","Mo {label}","Web editor"
"editor.closeTool","{label} 닫기","Close {label}","Dong {label}","Web editor"
"editor.openSelectionPanel","선택 패널 열기","Open selection panel","Mo panel lua chon","Web editor"
"editor.closeSelectionPanel","선택 패널 닫기","Close selection panel","Dong panel lua chon","Web editor"
"editor.openEditPanel","편집 패널 열기","Open edit panel","Mo panel chinh sua","Web editor"
"editor.closeEditPanel","편집 패널 닫기","Close edit panel","Dong panel chinh sua","Web editor"
"editor.openConflictsPanel","Conflicts 패널 열기","Open Conflicts panel","Mo panel Conflicts","Web editor"
"editor.closeConflictsPanel","Conflicts 패널 닫기","Close Conflicts panel","Dong panel Conflicts","Web editor"
"editor.selectionCount","{count}개 선택","{count} selected","Da chon {count}","Web editor"
"editor.errorCount","에러 {count}개","{count} errors","{count} loi","Web editor"
"editor.kind.facility","시설","Facility","Facility","Web editor"
"editor.kind.featurePath","Feature Path","Feature Path","Feature Path","Web editor"
"editor.kind.environment","환경","Environment","Moi truong","Web editor"
"editor.kind.player","플레이어","Player","Player","Web editor"
"editor.kind.customerPoint","손님 경로 점","Customer path point","Diem duong khach","Web editor"
"editor.kind.realPhysicsZone","실제 물리영역","Real physics zone","Vung vat ly that","Web editor"
"editor.kind.fakeSpriteZone","가짜 스프라이트영역","Fake sprite zone","Vung sprite gia","Web editor"
"editor.point.spawn","시작점","Spawn point","Diem sinh","Web editor"
"editor.point.leave","퇴장점","Leave point","Diem roi","Web editor"
"editor.point.entryWaypoint","진입 경유지 {index}","Entry waypoint {index}","Diem qua vao {index}","Web editor"
"editor.point.exitWaypoint","퇴장 경유지 {index}","Exit waypoint {index}","Diem qua ra {index}","Web editor"
"editor.point.queue","대기점 {index}","Queue point {index}","Diem doi {index}","Web editor"
"editor.worldEmptyCreateTitle","플레이어블을 생성하세요","Generate a playable","Tao playable","Web editor"
"editor.worldEmptySelectTitle","플레이어블을 선택하세요","Select a playable","Chon playable","Web editor"
"editor.worldEmptyDebug","현재 배치가 없습니다. draft_layout을 채우면 여기서 바로 확인할 수 있습니다.","There is no current layout. Fill draft_layout to preview it here.","Chua co layout hien tai. Dien draft_layout de xem o day.","Web editor"
"editor.worldEmptyNoLayout","현재 플레이어블에 배치가 없습니다. 플레이어블을 생성하세요.","The current playable has no layout. Generate the playable.","Playable hien tai chua co layout. Hay tao playable.","Web editor"
"editor.selectionInfo.count","선택 수: {count}개","Selection count: {count}","So da chon: {count}","Web editor"
"editor.selectionInfo.primary","대표 선택: {value}","Primary selection: {value}","Lua chon chinh: {value}","Web editor"
"editor.selectionInfo.names","이름: {names}{remaining}","Names: {names}{remaining}","Ten: {names}{remaining}","Web editor"
"editor.selectionInfo.remaining"," 외 {count}개"," and {count} more"," va {count} muc nua","Web editor"
"editor.selectionInfo.name","이름: {value}","Name: {value}","Ten: {value}","Web editor"
"editor.selectionInfo.kind","종류: {value}","Kind: {value}","Loai: {value}","Web editor"
"editor.selectionInfo.role","역할: {value}","Role: {value}","Vai tro: {value}","Web editor"
"editor.selectionInfo.position","위치: X {x} / Z {z}","Position: X {x} / Z {z}","Vi tri: X {x} / Z {z}","Web editor"
"editor.selectionInfo.size","크기: {width} x {depth}칸","Size: {width} x {depth} tiles","Kich thuoc: {width} x {depth} o","Web editor"
"editor.selectionInfo.rotation","회전: {degrees}°","Rotation: {degrees}°","Xoay: {degrees}°","Web editor"
"editor.selectionInfo.target","대상: {value}","Target: {value}","Muc tieu: {value}","Web editor"
"editor.selectionInfo.sink","종료 연결: {value}","End connection: {value}","Ket noi ket thuc: {value}","Web editor"
"editor.selectionInfo.pathTiles","경로 타일: {count}개","Path tiles: {count}","O duong: {count}","Web editor"
"editor.selectionInfo.point","포인트: {value}","Point: {value}","Diem: {value}","Web editor"
"editor.actionCount","{count}개 동작","{count} actions","{count} hanh dong","Web editor"
"editor.placementSwapSelectPlayable","플레이어블을 선택하면 지원 대상 배치 design 교체를 사용할 수 있습니다.","Select a playable to use supported placement design swaps.","Chon playable de dung doi design placement duoc ho tro.","Web editor"
"editor.targetCount","{count}개 대상","{count} targets","{count} doi tuong","Web editor"
